"1.1a  Bevolking buurten, 1 januari 2014-2018",,,,,,,
,,,,,2018,,
F86a Overtoomse Veld Noord,5439,5651,5982,6057,5941,2931,3010
F86b Overtoomse Veld Zuid,2795,2830,2842,2968,3974,1916,2058
F86c Rembrandtpark Noord,962,1043,1038,973,957,462,495
F86d Rembrandtpark Zuid,803,831,790,818,834,427,407
F86e Johan Jongkindbuurt,834,828,835,792,769,357,412
F86f Lucas/Andreasziekenhuis e.o.,433,521,652,720,898,437,461
F87a Koningin Wilhelminaplein,1868,1885,2194,2237,2291,1302,989
F87b Andreasterrein,1236,1286,1320,1301,1308,637,671
F87c Delflandpleinbuurt Oost,1447,1427,1458,1497,1529,856,673
F87d Delflandpleinbuurt West,2621,2839,2843,3083,3421,1737,1684
F87e Riekerhaven,-,6,11,575,569,373,196
F87f Schipluidenbuurt,11,5,11,13,942,414,528
F88a Riekerpolder,52,37,94,61,73,42,31
F88b Park Haagseweg,873,861,857,923,936,479,457
F88c Nieuwe Meer,181,188,178,173,164,98,66
F88d Sloterweg e.o.,242,250,255,263,256,113,143
F88e Nieuw Sloten Noordwest,3201,3161,3198,3164,3139,1523,1616
F88f Nieuw Sloten Noordoost,3124,3106,3123,3148,3155,1554,1601
F88g Belgiëplein e.o.,1055,1058,1063,1047,1059,495,564
F88h Nieuw Sloten Zuidwest,2406,2401,2383,2368,2365,1162,1203
F88i Nieuw Sloten Zuidoost,2064,2086,2123,2154,2143,1082,1061
F88j Dorp Sloten,700,698,703,693,715,367,348
F89a Louis Chrispijnbuurt,2838,2832,2962,3162,3242,1530,1712
F89b Jacques Veldmanbuurt,3025,3080,3118,3540,3601,1717,1884
F89c Staalmanbuurt,2880,2991,2835,2782,2868,1385,1483
F89d Medisch Centrum Slotervaart,761,714,751,710,845,435,410
K23a Zuidas Noord,86,123,146,143,450,255,195
K23b RAI,-,-,-,-,-,-,-
K23c VU-kwartier,91,108,147,150,162,92,70
K23d Zuidas Zuid,719,889,1018,1524,2107,1225,882
K23e Vivaldi,123,160,945,983,984,481,503
K24a Hemonybuurt,2570,2604,2602,2574,2571,1311,1260
K24b Gerard Doubuurt,1958,1988,1991,1948,1992,1018,974
K24c Frans Halsbuurt,2601,2607,2581,2571,2621,1304,1317
K24d Hercules Seghersbuurt,2576,2607,2584,2579,2582,1307,1275
K24e Sarphatiparkbuurt,5119,5171,5113,5039,5061,2582,2479
K25a Willibrordusbuurt,2518,2449,2586,2557,2512,1180,1332
K25b Van der Helstpleinbuurt,3724,3797,3841,3815,3880,1954,1926
K25c Lizzy Ansinghbuurt,2368,2441,2437,2386,2418,1148,1270
K25d Cornelis Troostbuurt,3489,3560,3542,3548,3518,1693,1825
K26a Diamantbuurt,3113,3128,3161,3136,3126,1509,1617
K26b Burgemeester Tellegenbuurt Oost,2864,2865,2844,2851,2829,1310,1519
K26c Burgemeester Tellegenbuurt West,2220,2244,2271,2267,2251,1076,1175
K44a Surinamepleinbuurt,1398,1468,1553,1541,1543,662,881
K44b Westlandgrachtbuurt,3467,3513,3569,3619,3597,1690,1907
K44c Aalsmeerwegbuurt West,2493,2456,2493,2501,2535,1170,1365
K44d Aalsmeerwegbuurt Oost,2220,2264,2229,2192,2197,1038,1159
K44e Legmeerpleinbuurt,1597,1628,1639,1656,1701,794,907
K44f Bedrijventerrein Schinkel,193,210,284,344,263,134,129
K45a Schinkelbuurt Noord,2316,2358,2349,2340,2353,1125,1228
K45b Schinkelbuurt Zuid,1419,1443,1495,1497,1473,695,778
K46a Valeriusbuurt Oost,1394,1447,1452,1371,1362,687,675
K46b Valeriusbuurt West,2627,2648,2582,2533,2561,1248,1313
K46c Willemsparkbuurt Noord,1594,1603,1613,1634,1580,778,802
K46d Vondelpark West,-,-,-,-,-,-,-
K47a Johannnes Vermeerbuurt,1519,1499,1517,1482,1471,712,759
K47b P.C. Hooftbuurt,852,822,797,754,768,389,379
K47c Concertgebouwbuurt,1891,1908,1905,1896,1853,919,934
K47d Cornelis Schuytbuurt,3046,2975,2989,3025,2914,1452,1462
K47e Banpleinbuurt,840,823,838,822,819,388,431
K47f Hondecoeterbuurt,2047,2102,2063,2090,2028,963,1065
K47g Harmoniehofbuurt,1362,1377,1398,1390,1377,629,748
K47h Museumplein,6,8,7,7,7,6,1
K47i Vondelpark Oost,3,3,1,1,4,3,1
K47j Duivelseiland,1329,1366,1351,1374,1387,687,700
K48a Bertelmanpleinbuurt,1119,1108,1092,1109,1085,497,588
K48b Marathonbuurt Oost,1366,1452,1485,1499,1480,705,775
K48c Marathonbuurt West,2347,2377,2426,2418,2413,1149,1264
K48d Olympisch Stadion e.o.,2103,2180,2161,2280,2265,1058,1207
K48e IJsbaanpad e.o.,356,378,374,396,405,203,202
K48f Van Tuyllbuurt,4080,4077,4108,4104,4150,1893,2257
K49a Diepenbrockbuurt,764,764,783,777,804,384,420
K49b Beethovenbuurt,1237,1228,1262,1238,1223,574,649
K49c Hiltonbuurt,82,80,82,82,89,42,47
K49d Minervabuurt Noord,1473,1403,1439,1450,1437,689,748
K49e Minervabuurt Midden,2463,2525,2489,2475,2446,1136,1310
K49f Minervabuurt Zuid,2628,2644,2709,2669,2645,1260,1385
K52a Wielingenbuurt,3004,3025,3069,3097,3059,1391,1668
K52b Scheldebuurt West,4357,4436,4391,4437,4416,2031,2385
K52c Scheldebuurt Midden,3287,3308,3320,3242,3202,1460,1742
K52d Scheldebuurt Oost,2307,2362,2364,2397,2382,1094,1288
K52g Veluwebuurt,1476,1487,1511,1461,1491,693,798
K52h Kop Zuidas,110,100,97,454,569,277,292
K53a IJselbuurt West,2319,2287,2364,2399,2424,1166,1258
K53b IJselbuurt Oost,2902,2924,2996,2974,2963,1410,1553
K54a Kromme Mijdrechtbuurt,2554,2500,2538,2522,2493,1166,1327
K54b Rijnbuurt Oost,2719,2738,2737,2741,2754,1308,1446
K54c Rijnbuurt Midden,2123,2170,2161,2180,2182,999,1183
K54d Rijnbuurt West,1628,1602,1646,1696,1690,810,880
K54e Zorgvlied,44,50,46,44,47,25,22
K59a Prinses Irenebuurt,1236,1279,1318,1313,1336,613,723
K59b Beatrixpark,-,-,-,-,-,-,-
K90a Gelderlandpleinbuurt,4024,4122,4150,4452,4558,2092,2466
K90c Buitenveldert Midden Zuid,3616,3580,3572,3606,3714,1773,1941
K90d Buitenveldert Zuidwest,3810,3895,3911,3961,4021,1876,2145
K90e Amsterdamse Bos,71,73,70,69,73,35,38
K90i Buitenveldert West Midden,955,987,985,975,995,468,527
K90j Zuiderhof,11,5,9,11,11,6,5
K91a De Klenckebuurt,670,682,670,688,775,349,426
K91b Buitenveldert Oost Midden,3117,3124,3142,3185,3215,1522,1693
K91c Buitenveldert Zuidoost,3403,3814,3837,3879,3867,1848,2019
K91d Amstelpark,10,10,11,12,12,8,4
M27a Swammerdambuurt,1911,1900,1888,1916,1970,1004,966
M27b Weesperzijde Midden/Zuid,2771,2897,2953,2995,3044,1541,1503
