,OBJECTID_1,text,created,Description,longitude,latitude,hashtag,statusSour
26,38.0,#beautiful #people #models #for @ElsHardjopawiro #showcase #restaurantdesmeltkroes #amsterdam #makeup and https://t.co/jJG8zHHNzS,2019-06-23,tourist,4.9756599999999995,52.32268,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
27,39.0,@ElsHardjopawiro #supreme #wax #africanprint #design #in #motion #elegant #gracious #showcase #amsterdam https://t.co/AF9jUi8jgh,2019-06-24,tourist,4.9756599999999995,52.32268,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
28,40.0,The #smallest #woman #between the #beautiful #tall #models @ElsHardjopawiro <U+0001F648> #designer #showcase #with #slippers https://t.co/zqj20I5nDQ,2019-06-24,tourist,4.9756599999999995,52.32268,amsterdam,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
29,41.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel EGoli Amsterdam
 https://t.co/YWmVP63ouY",2019-06-18,non-tourist,4.9618253,52.3242232,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
30,42.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Ouderkerkerdijk Amsterdam
 https://t.co/EYZ76YPxfg",2019-06-20,non-tourist,4.905835,52.327453000000006,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
31,44.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel De Boelelaan Amsterdam
 https://t.co/SvIO8u1G5j",2019-06-15,non-tourist,4.8880442,52.3347362,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
32,45.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel De Boelelaan Amsterdam
 https://t.co/QkwQRrZO2b",2019-06-15,non-tourist,4.8880442,52.3347362,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
33,46.0,"<U+0001F534> #AMSTERDAM #AML <U+0001F693> P 1 Ongeval Wegvervoer Letsel Gustav Mahlerlaan Amsterdam
 https://t.co/yghTOxcEeS",2019-06-20,non-tourist,4.861763,52.335355,amsterdam,"<a href=""http://112alarm.net"" rel=""nofollow"">112alarm.net</a>"
34,47.0,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-01 Brand Sportcomplex (Grote Brand) Sporthallen Zuid , Burgerweeshuispad Amsterda https://t.co/Hy7x9hErPo",2019-06-23,non-tourist,4.854786,52.339308,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
35,48.0,"<U+0001F534> #AMSTERDAM Opschaling <U+0001F692> P 1 BAD-01 Brand Sportcomplex (Grote Brand) Sporthallen Zuid , Burgerweeshuispad Amsterda https://t.co/xUH4fRyF2y",2019-06-23,non-tourist,4.854786,52.339308,amsterdam,"<a href=""http://112alarm.net/"" rel=""nofollow"">112alarm Opschaling</a>"
