"","formatted_address","name","place_id","lat","lng"
"71","Hollandse Kade 16, 1391 JD Abcoude, Netherlands","Just Headphones","ChIJ-5Lpv5cMxkcRsJkzRMTMNPE",52.279524,4.973609
"72","Reigersbos 139, 1107 EW Amsterdam, Netherlands","Slagerij Pouw","ChIJFY0X64gMxkcRCgkMEtlYH3Q",52.2954874,4.9765393
"77","Reigersbos 113, 1107 EW Amsterdam, Netherlands","Kaas Paleis","ChIJD-hG64gMxkcR9z9uRPnXf0s",52.2955771,4.9764945
"79","ArenA Boulevard 1-3, 1101 AX Amsterdam, Netherlands","Official Ajax Fanshop ArenA","ChIJc5HKtJcLxkcR0QSdwjhbVWA",52.313948,4.9404839
"87","Reigersbos 98B, 1107 ES Amsterdam, Netherlands","Cheers","ChIJJVPTlogMxkcRZLBgXgTMgbo",52.2956384,4.9758619
"90","Wisseloord 164-A, 1106 MC Amsterdam, Netherlands","New King Telecom","ChIJmfsnxooMxkcRCXJdqFV9-E8",52.2972687,4.987532
"104","Burgemeester Mulstraat 10, 1109 AP Amsterdam, Netherlands","Retro Baby Shop","ChIJaw-yZKwNxkcRiaDncoXDtms",52.3034581,5.0198342
"111","Gein Noord 62, 1391 HW Abcoude, Netherlands","Kaasboerderij Gein Genoegen","ChIJ-f51MfoMxkcR-3QMu1pnyb0",52.2919713,5.0035084
"113","Sandbergstraat 21, 1391 EK Abcoude, Netherlands","La Maison du Champagne","ChIJN35F47rjxUcRTdCHLrsrRus",52.267986,4.976804
"115","72, Nieuwstad, 1381 CD Weesp, Netherlands","'T HOEKJE","ChIJgUJYuKINxkcR1ckJvHLH_cM",52.3063489,5.0416323
"121","Kuiperbergweg 18, 1101 AG Amsterdam-Zuidoost, Netherlands","Kroon Banden B.V. Amsterdam Zuidoost","ChIJAQBwwJ8LxkcRPrbWgCAmGhw",52.3021842,4.9379791
"124","Klokkenbergweg 3, 1101 AK Amsterdam, Netherlands","Renault en Dacia dealer Arend Auto Amsterdam Zuid-Oost","ChIJcQSMXS0KxkcRP16e9jv0LBc",52.3034175,4.9354285
"130","Kuiperbergweg 38, 1101 AG Amsterdam, Netherlands","Ksd Carpoint, Uw Volkswagen Specialist","ChIJwfghhHULxkcRhhZ0HijONjE",52.3004793,4.9397311
"135","Lemelerbergweg 29 Unit B, 1101 AH Amsterdam, Netherlands","GoldVish International B.V.","ChIJPUzoELYLxkcRmnHOXwj-DPc",52.3040721,4.9397617
"138","Kollenbergweg 78, 1101 AV Amsterdam, Netherlands","Refero Textiel Bedrukken","ChIJX5tD3qELxkcRy7mGnXajOrA",52.3048954,4.9364398
"142","Kollenbergweg 2, 1101 AR Amsterdam, Netherlands","Nawaaz","ChIJO05eUZ8LxkcRcl4K0H9TG9Q",52.3059054,4.9373386
"143","Laarderhoogtweg 20, 1101 EA Amsterdam, Netherlands","Greetz","ChIJaQAgwp0LxkcRIlWY02F73lc",52.3019395,4.9434517
"155","De Entree 59, 1101 BH Amsterdam, Netherlands","Alliance Tire Europe BV","ChIJ4bZ9CmprxEcRXfdzMroDSes",52.3117752,4.9396921
"156","Hoogoorddreef 78, 1101 BG Amsterdam, Netherlands","Klik Electro- en Klimaattechniek","ChIJWTbRCqILxkcRXGxG-vteSh8",52.3075732,4.9369484
"158","ArenA Boulevard 96, 1101 DJ Amsterdam, Netherlands","DFS Villa Arena","ChIJLcv1jpcLxkcRLhJa7eV7C8U",52.3119557,4.9401076
"160","ArenA Boulevard 148, 1101 DJ Amsterdam, Netherlands","Goossens slapen - Amsterdam","ChIJM7GwhugLxkcRxiTGCE4OMhE",52.3119286,4.9400492
"165","Hoogoorddreef 9, 1101 BA Amsterdam, Netherlands","Vloeren Coatings","ChIJtSqKO5oLxkcRRQgxLANCe_s",52.3094517,4.9455368
"166","ArenA Boulevard 101, 1101 DM Amsterdam, Netherlands","Decathlon","ChIJtSJSK_MLxkcRQEAKt6XGh4Q",52.3133836,4.9439654
"167","Bijlmerplein 80, 1102 DA Amsterdam, Netherlands","Cinnabon Amsterdamse Poort","ChIJtfdaNpALxkcR7IyY6LNzdEc",52.3133322,4.9500951
"172","Hoger Einde-Zuid 23, 1191 AH Ouderkerk aan de Amstel, Netherlands","De Haan Cycling","ChIJheHFQPkKxkcRQIXkgOPgFK8",52.2984288,4.9009756
"175","Gelderlandplein 136, 1082 LV Amsterdam, Netherlands","MANGO","ChIJ99YclBEKxkcR4OIMxQ3HrO0",52.3315469,4.8778874
"176","Bijlmerplein 687A, 1102 DZ Amsterdam, Netherlands","Vicky's Beauty Shop","ChIJa1pQX44LxkcR1xgul67zHtA",52.3145454,4.9549227
"177","Berkenstraat 2, 1115 AW Duivendrecht, Netherlands","Set Gear Shop","ChIJXbGvhucLxkcRSfPw2T4k5qU",52.335,4.9423992
"196","Bijlmerplein 401, 1102 DL Amsterdam, Netherlands","Used Products Bijlmer","ChIJa4G0FI4LxkcR5-3X6P_Y35A",52.3151108,4.9538221
"202","Holendrechtplein 2, 1106 LN Amsterdam, Netherlands","De Tabakker","ChIJaVQ1438MxkcRvKwS4jS3Xng",52.3000868,4.9631558
"207","Holendrechtplein 10, 1106 LN Amsterdam, Netherlands","Sahin Islamitische Slagerij","ChIJwYxL4X8MxkcRUlkTxnHL8lM",52.3000796,4.9636397
"213","Heesterveld 73, 1102 SB Amsterdam, Netherlands","Kitchen for fashion","ChIJxenPZ4QLxkcR27l53W_PJYE",52.3067418,4.9543388
"234","Bijlmerplein 863, 1102 ME Amsterdam, Netherlands","Nico's Slagerij & Traiteur","ChIJDUXyUY4LxkcRgkVI1SFcPyw",52.3139132,4.9541076
"239","Hullenbergweg 2, 1101 BL Amsterdam, Netherlands","IKEA","ChIJu0Vo1JwLxkcRhzKUgdqok4E",52.302803,4.949825
"248","Leusdenhof 60, 1108 CV Amsterdam, Netherlands","Taarten van Maureen","ChIJoVFJQmUMxkcRf147etsu7oo",52.30895,4.978673
"264","Leusdenhof 196, 1108 DG Amsterdam, Netherlands","Deekman Woninginrichting","ChIJXYH5GWUMxkcR6P7fsAhjscM",52.3078003,4.9790355
"289","Kralenbeek, 1104 KH Amsterdam, Netherlands","Divine-Hair","ChIJ__8_n3EMxkcRJys6vt0nJbI",52.3140795,4.975107
"293","Treubweg 15, 1112 BA Diemen, Netherlands","SKIPOINT - Ski en Snowboard Shop","ChIJNYkTnggMxkcRjURMYkCDEJM",52.3310317,4.9728628
"295","Bijlmerdreef 1172, 1103 JV Amsterdam, Netherlands","Mobile shop","ChIJoUbFdgsMxkcRE0DN19cLZOw",52.3225564,4.9716514
"297","Hogevecht 228B, 1102 HM Amsterdam, Netherlands","Gracia-bijoux","ChIJqYgQJYYLxkcRPqnymUULZ_I",52.3100872,4.9598197
"300","IJburglaan 559, 1087 BS Amsterdam, Netherlands","Holland & Barrett","ChIJVScsoLkOxkcRLbO-emOzhi4",52.35876,4.989312
"312","Lange Stammerdijk 31, 1109 BL Amsterdam, Netherlands","De Haan Glashandel","ChIJe3oJs1MMxkcREcrA_1Hliow",52.3056176,5.0120015
"339","Slijkstraat 4a, 1381 BA Weesp, Netherlands","Tinustattoos","ChIJReDsdzISxkcRdk0PG8O7AD4",52.3084866,5.0426027
"345","Verrijn Stuartweg 48, 1112 AX Diemen, Netherlands","Drukkerij Van Ravensberg","ChIJSSUliJMJxkcRHGNrQfp4uLg",52.3315169,4.9676764
"351","Amstellandlaan 12, 1382 CE Weesp, Netherlands","Primera Weesp","ChIJ3boUq7sNxkcRu4NJ9NWb6Mw",52.3105154,5.0341818
"352","Atlantisplein 1, 1093 NE Amsterdam, Netherlands","KEYMUSIC Amsterdam","ChIJCzQGsXEJxkcRwQBfft77wGc",52.357661,4.930521
"353","Nieuwstraat 39, 1381 BB Weesp, Netherlands","TopSkincare Organic Beauty Shop & Day Spa","ChIJzZeIjpsNxkcRBw3gF-lvG7E",52.306852,5.042577
"354","Achtergracht 26-30, 1381 BN Weesp, Netherlands","De Kringloper Weesp","ChIJux1_zLwNxkcRH_rnWEgL944",52.3074783,5.0387963
"356","Flevolaan 58, 1382 JZ Weesp, Netherlands","Allwelove.nl","ChIJFbB3pVANxkcR6gJEE7jJYyI",52.3152169,5.0236527
"357","Nieuwstad 42, 1381 CC Weesp, Netherlands","Swatch","ChIJlceu06INxkcRxWSwGrMuf9g",52.3069718,5.0404941
"360","Waldenlaan 129, 1093 NH Amsterdam, Netherlands","Holland & Barrett","ChIJh4sos3EJxkcRLSOE3-W5P8Y",52.3570058,4.9288833
"363","Bijlmerplein 719A, 1102 MA Amsterdam, Netherlands","La Palazzo Coffee & Lunch","ChIJFfVL9o4LxkcR1dbmqJU6rkc",52.314375,4.9550417
"364","Anton de Komplein 157, 1102 DR Amsterdam, Netherlands","Scuba Education Amsterdam","ChIJ-5FTAowLxkcR0lY2fquev5k",52.3154623,4.9582651
"369","70, Bijlmerplein 689-L UNIT 68, 1102 DZ Amsterdam, Netherlands","Agnes Bijoux","ChIJTT7F9o4LxkcRn5y1T2aV9hs",52.3143757,4.9552889
"370","Anton de Komplein 156A, 1102 CW Amsterdam, Netherlands","Gelato Mio","ChIJcSTcSuALxkcR9CMe9ElaiMI",52.315028,4.9577671
"371","1102 CW Amsterdam, Netherlands","Warsi Tel & Computers","ChIJh8eCBPsLxkcRFLn0tbJPtNk",52.3159844,4.9556081
