"","formatted_address","name","place_id","lat","lng"
"202","Middenweg 31 BG, 1098 AB Amsterdam, Netherlands","WAAR Amsterdam Middenweg","ChIJndcc5JsNxkcR9wZGgbk12So",52.354662,4.929467
"211","Linnaeusstraat 10, 1092 CK Amsterdam, Netherlands","Bonaparte Kristal","ChIJdYippnYJxkcRzMVBbPXPqqg",52.3597087,4.9252896
"212","Oudemanshof 3a, 1097 LK Amsterdam, Netherlands","Qift.Shop","ChIJNbVzcRwJxkcR3fgl9UNfx9U",52.3452875,4.9343714
"231","Eerste Van Swindenstraat 20, 1093 GD Amsterdam, Netherlands","EduCulture","ChIJAQCEaHQJxkcR6WEpT1pWGO4",52.3620552,4.9255026
"235","Jodenbreestraat 18, 1011 NK Amsterdam, Netherlands","Esch Tobacco & Souvenirs","ChIJaSebKrwJxkcRLplb6nqDGVA",52.369216,4.901571
"239","Javastraat 115, 1094 HD Amsterdam, Netherlands","De Balkonie Oost","ChIJd8T8I20JxkcRP1xUcKo7xCU",52.3639117,4.9367914
"240","Jan Bernardusstraat 9, 1091 TR Amsterdam, Netherlands","Cadeaus Voor Haar","ChIJbYibYIEJxkcR22uMr-z3vkE",52.3496993,4.9131332
"248","Erich Salomonstraat 54, 1087 AW Amsterdam, Netherlands","Phing-Thing","ChIJd6oeMrkOxkcR0Ia4nyZ5IbA",52.3592019,4.9925087
"299","Diemerplein, 78, Diemen, Netherlands","Sparkle Style","ChIJtdlp_P0LxkcRBA9qqdCHILI",52.3422889,4.9626762
"315","Moezelhavenweg 95, 1043 AM Amsterdam, Netherlands","Saviena","ChIJRYLHf86fxkcRbiuQtYyk0nA",52.3945283,4.8185896
"316","Lambertus Zijlplein 1, 1067 JR Amsterdam, Netherlands","Homestar Import Export","ChIJO6UfT7rjxUcRu2FiODBFaWA",52.377372,4.800856
"335","Burgemeester Vening Meineszlaan 163, 1063 AZ Amsterdam, Netherlands","Salem's Fantasy Gifts","ChIJATI3nVHixUcRB86W1q1ykwM",52.3827838,4.8252107
"349","Jan van Galenstraat 110, 1056 CE Amsterdam, Netherlands","Ohm The Miracle Shop Amsterdam","ChIJyYZhwtHjxUcR5vqy_0c5T4M",52.3749837,4.8598422
"356","Jan Evertsenstraat 120 H, 1056 EJ Amsterdam, Netherlands","Souvenirtje 2/Waterpijpenshop & souvenirs","ChIJ-5ckA23ixUcRRTGJ38i4-Kk",52.3705118,4.8523291
"397","Haarlemmerdijk 57, 1013 KB Amsterdam, Netherlands","WAAR Amsterdam Haarlemmerdijk","ChIJYyYPo-gJxkcRPy7XK40siLs",52.3823386,4.8876465
"406","Haarlemmerdijk 56, 1013 JE Amsterdam, Netherlands","'t Stomerijtje","ChIJe6QMhs4JxkcRmt3TTblhUPA",52.3824383,4.8878521
"410","Nieuwendijk 26, 1012 ML Amsterdam, Netherlands","Tabak & Souvenir Shop","ChIJh6yJE8gJxkcR7bsBCrAUI2Q",52.3783323,4.8952132
"412","Centrale Groothandelsmarkt, 1051 LJ Amsterdam, Netherlands","Zalmkado","ChIJWx-t9qgFxkcR29qnOSI8NgA",52.3813841,4.8664782
"413","Spaarndammerstraat 95, 1013 TC Amsterdam, Netherlands","Kadoriënt","ChIJUd8-YCsIxkcR7Gk9X-O0YQs",52.390131,4.878559
"414","Van Hallstraat 679, 1051 HG Amsterdam, Netherlands","Roppongi","ChIJvUIwlNcJxkcRuiO0DvyMu-s",52.379421,4.872236
"449","Berberisstraat 36, 1032 EM Amsterdam, Netherlands","Tabac en Souvenirwinkel Anastacia","ChIJNyJS4QQIxkcR9QGEkiDmYS0",52.392776,4.9138252
"453","Motorwal 105, 1021 PE Amsterdam, Netherlands","Sam & Sanne Baby- en kinderartikelen, verrassende 10 daagse kraamcadeaus","ChIJNRvC7KsJxkcROFTYN7UhnB0",52.382965,4.918476
"460","Pettenstraat 45, 1024 CS Amsterdam, Netherlands","From Holland Online","ChIJ5cNaN3UJxkcRoHyK0TOK2sM",52.397843,4.952303
"479","Piet Heinkade 23, 1019 BR Amsterdam, Netherlands","Thinking Of Holland","ChIJmUFsQK8JxkcRagFEy1-W9Q8",52.3778232,4.9148765
