"","�..HOTELNAAM_2014","NHC_2014","KAM_2014","BED_2014","STRAAT_2014","HUISID_2014","POSTCODE_2014","BRTK10","unesco","Soort_hotel_hostel..jeugdherberg","lat","lon"
"19","CHICO'S GUESTHOUSE","0",3,6,"ST.WILLIBRORDUSSTRAAT","77","1073VA","K25b","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3540171,"4.9010362"
"20","DAMHOTEL","2",19,51,"DAMRAK","31","1012LJ","A01c","B","hotel",52.3761088,"4.8966233"
"21","AMSTERDAM HOSTEL CENTRE","1",11,41,"LEIDSEKRUISSTRAAT","13","1017RE","A07c","K","hostel/ jeugdherberg",52.3636675,"4.8853534"
"22","CORDIAL HOTEL","3",59,108,"ROKIN","62-64","1012KW","A01g","B","hotel",52.3691257,"4.8921205"
"23","BLYSS HOTEL","3",39,87,"VONDELSTRAAT","74","1054GN","E22a","","hotel",52.3618999,"4.8755518"
"24","LEIDSE SQUARE HOTEL A'DAM, BEST WESTERN","3",89,187,"TESSELSCHADESTRAAT","23","1054ET","E22a","","hotel",52.3620329,"4.8792278"
"25","KOOYK HOTEL","1",19,39,"LEIDSEKADE","81-83","1017PM","A07b","B","hotel",52.3656484,"4.8793096"
"26","MERCURE HOTEL AMSTERDAM CITY","4",368,751,"JOAN MUYSKENWEG","10","1096CJ","M58d","","hotel",52.3352478,"4.9135808"
"27","NEUTRAAL HOTEL","0",34,55,"DAMRAK","8","1012LG","A01c","B","hotel",52.3768951,"4.897672"
"28","MANOFA HOTEL","1",47,126,"DAMRAK","46-48","1012LL","A01e","B","hotel",52.3769214,"4.8982816"
"29","AGORA HOTEL","2",16,38,"SINGEL","462","1017AW","A01i","K","hotel",52.3674843,"4.8888928"
"30","POSTE HOTEL,DE LA","2",7,17,"REGULIERSGRACHT","3-5","1017LJ","A03d","K","hotel",52.3646317,"4.896074"
"31","ROEMER HOTEL","4",23,46,"ROEMER VISSCHERSTRAAT","8-10","1054EX","E22a","","hotel",52.3614095,"4.8771533"
"32","RHO HOTEL","3",167,333,"NES","5-23","1012KC","A00d","B","hotel",52.3718704,"4.8937223"
"33","AMSTERDAM-DE ROODE LEEUW HOTEL","4",79,147,"DAMRAK","93-94","1012LP","A01e","B","hotel",52.3769214,"4.8982816"
"34","INNER HOTEL","2",84,298,"WANNINGSTRAAT","1","1071LA","K47c","","hotel",52.3569738,"4.8774435"
"35","SINT NICOLAAS HOTEL","3",27,60,"SPUISTRAAT","1A","1012SP","A01b","B","hotel",52.3775134,"4.8950657"
"36","SCHILLER HOTEL, NH","4",92,174,"REMBRANDTPLEIN","26-36","1017CV","A03e","K","hotel",52.3658965,"4.8974561"
"37","HAMPSHIRE HOTEL LANCASTER","3",91,195,"PLANTAGE MIDDENLAAN","48","1018DH","A08c","B","hotel",52.3658572,"4.9128724"
"38","JIMMY HOTEL","1",14,28,"MARTELAARSGRACHT","15","1012TN","A01c","B","hotel",52.377738,"4.896222"
"39","ATLANTA HOTEL","2",36,71,"REMBRANDTPLEIN","8","1017CV","A03e","K","hotel",52.365984,"4.8954873"
"40","REGAL HOTEL,THE","1",11,24,"BINNEN WIERINGERSTRAAT","7","1013EA","A05b","K","hotel",52.3800331,"4.8927927"
"41","VAN GELDER HOTEL","1",32,63,"DAMRAK","34","1012LK","A01e","B","hotel",52.3760003,"4.8964629"
"42","FREDERIK PARK HOUSE HOTEL","0",4,8,"FREDERIKSPLEIN","22","1017XM","A07g","B","hotel",52.3608815,"4.8982891"
"43","CROWN HOTEL,THE","1",17,41,"OUDEZIJDS VOORBURGWAL","21","1012EH","A00a","B","hotel",52.3748641,"4.8998972"
"44","DYLAN, THE","4",40,79,"KEIZERSGRACHT","384","1016GB","A02c","K","hotel",52.3692791,"4.8839831"
"45","SINGEL HOTEL","3",32,66,"SINGEL","13-17","1012VC","A01b","K","hotel",52.3795744,"4.8945993"
"46","DELTA HOTEL","3",47,110,"DAMRAK","42-43","1012LK","A01e","B","hotel",52.3769214,"4.8982816"
"47","HEGRA HOTEL","2",11,23,"HERENGRACHT","269","1016BJ","A02c","K","hotel",52.3714144,"4.8873362"
"48","D'AMSTERDAM HOTEL","3",16,31,"TWEEDE HELMERSSTRAAT","4","1054CH","E20a","","hotel",52.365066,"4.8781874"
"49","SARPHATI HOTEL","2",15,32,"SARPHATIPARK","58","1073CZ","K25b","","hotel",52.3532845,"4.8955399"
"50","SPHINX HOTEL EUROPE","0",22,44,"WETERINGSCHANS","82","1017XR","A07f","B","hotel",52.3593271,"4.894049"
"51","AMSTERDAM WIECHMANN HOTEL","2",37,79,"PRINSENGRACHT","328-332","1016HX","A06g","K","hotel",52.3695636,"4.8823837"
"52","THE ALBUS","4",74,150,"VIJZELSTRAAT","49","1017HE","A03c","K","hotel",52.3657859,"4.8932578"
"53","ADMIRAAL HOTEL,DE","1",9,24,"HERENGRACHT","563","1017CD","A03e","K","hotel",52.3650793,"4.8962461"
"54","SARPHATI SUITES","4",4,8,"SARPHATISTRAAT","113","1018GB","A08b","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3608918,"4.9064346"
"55","SHENZHOU BED & BREAKFAST","1",3,6,"GELDERSEKADE","75","1011EL","A04d","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3745039,"4.901913"
