"","�..HOTELNAAM_2014","NHC_2014","KAM_2014","BED_2014","STRAAT_2014","HUISID_2014","POSTCODE_2014","BRTK10","unesco","Soort_hotel_hostel..jeugdherberg","lat","lon"
"190","WESTCORD FASHION HOTEL AMSTERDAM","4",260,531,"HENDRIKJE STOFFELSTRAAT","1","1058GC","F87b","","hotel",NA,NA
"191","AMISTAD HOTEL","2",8,14,"KERKSTRAAT","42","1017GM","A02e","K","hotel",52.3629419,"4.892067"
"192","TRAVEL HOTEL","2",30,81,"BEURSSTRAAT","23","1012JV","A00b","B","hotel",52.3748239,"4.8966962"
"193","MEETING POINT HOSTEL","0",10,111,"WARMOESSTRAAT","14","1012JD","A00a","B","hostel/ jeugdherberg",52.3761006,"4.899122"
"194","PRINSENGRACHT HOTEL","3",34,64,"PRINSENGRACHT","1015-1017","1017KN","A03c","K","hotel",52.3619835,"4.8942835"
"195","FRISCO INN HOTEL","1",11,22,"BEURSSTRAAT","5","1012JT","A00b","B","hotel",52.3751227,"4.8972216"
"196","VETERAN,THE","0",12,28,"HERENGRACHT","561","1017BW","A03c","K","hostel/ jeugdherberg",52.3650494,"4.895527"
"197","MY HOME HOTEL","1",8,16,"HAARLEMMERSTRAAT","82","1013EV","A05b","K","hotel",52.3804649,"4.8915522"
"198","IBIS AMSTERDAM CENTRE","3",363,786,"STATIONSPLEIN","49","1012AB","A01a","B","hotel",52.3795085,"4.8971731"
"199","MULTATULI HOTEL","3",29,54,"PRINS HENDRIKKADE","12","1012TL","A01b","B","hotel",52.3788883,"4.8955488"
"200","VONDEL HOTEL","4",86,163,"VONDELSTRAAT","26","1054GE","E22a","","hotel",52.3626209,"4.878098"
"201","ROBERTRAMON HOTEL","3",51,90,"PIETER CORNELISZ HOOFTSTRAAT","24-28","1071BX","K47b","","hotel",52.3594291,"4.8776192"
"202","PRINSENHOF HOTEL","1",11,23,"PRINSENGRACHT","810","1017JL","A07g","K","hotel",52.3619557,"4.8994663"
"203","LIBERTY HOTEL","0",4,9,"SINGEL","5","1012VC","A01b","K","hotel",52.3782455,"4.8938827"
"204","ORANJE TULP","2",16,44,"DAMRAK","32","1012LK","A01e","B","hotel",52.3760831,"4.8965471"
"205","WEST SIDE INN HOTEL","3",232,501,"VOORBURGSTRAAT","250","1059VD","F87c","","hotel",52.3487299,"4.8426521"
"206","GLOBE, HOTEL DE","0",25,124,"OUDEZIJDS VOORBURGWAL","3","1012EH","A00a","B","hotel",52.3752018,"4.9002884"
"207","NES HOTEL","3",39,71,"KLOVENIERSBURGWAL","137-139","1011KE","A04h","B","hotel",52.3677884,"4.8960666"
"208","CAMPANILE AMSTERDAM Z.O. HOTEL","3",74,148,"LOOSDRECHTDREEF","3","1108AX","T95b","","hotel",52.3115947,"4.9851323"
"209","CITY CENTRE,NH","3",209,438,"SPUISTRAAT","288-292","1012VX","A01f","K","hotel",52.3724212,"4.8895432"
"210","BASTION HOTEL AMSTERDAM CENTRUM-NOORD","3",68,136,"RODE KRUISSTRAAT","28","1025KN","N69a","","hotel",52.39609965,"4.92853573178333"
"211","ESTHEREA HOTEL","4",92,192,"SINGEL","303-309","1012WJ","A01f","K","hotel",52.3719481,"4.8887342"
"212","CITADEL HOTEL","3",38,74,"NIEUWEZIJDS VOORBURGWAL","98-100","1012SG","A01d","B","hotel",52.3731557,"4.8905558"
"213","WESTCORD CITY CENTRE HOTEL AMSTERDAM","3",106,219,"NIEUWEZIJDS VOORBURGWAL","50","1012SC","A01d","B","hotel",52.3765457,"4.8936226"
"214","BACKSTAGE HOTEL","2",22,55,"LEIDSEGRACHT","114","1016CT","A06j","B","hotel",52.3654973,"4.8802527"
"215","IBIS STYLES AMSTERDAM AMSTEL","3",45,82,"STADHOUDERSKADE","131","1074AW","K24a","","hotel",52.357879,"4.9003186"
"216","AMBASSADE HOTEL","4",59,117,"HERENGRACHT","341","1016AZ","A02c","K","hotel",52.3693735,"4.887183"
"217","ABBA HOTEL","1",36,76,"OVERTOOM","118-120","1054HM","E20b","","hotel",52.3578541,"4.8557024"
"218","BARBACAN HOTEL","2",22,36,"PLANTAGE MUIDERGRACHT","89","1018TN","A08c","B","hotel",52.3652605,"4.9119978"
"219","BEURSSTRAAT HOTEL","1",49,105,"BEURSSTRAAT","7-9","1012JT","A00b","B","hotel",52.3753547,"4.8973747"
"220","QUENTIN-ENGELAND HOTEL,THE","0",31,65,"ROEMER VISSCHERSTRAAT","30","1054EZ","E22a","","hotel",52.3615293,"4.877127"
"221","APOLLOFIRST A HAMPSHIRE CLASSIC HOTEL","4",37,74,"APOLLOLAAN","123-125","1077AP","K49d","","hotel",52.3506912,"4.8787869"
"222","AALBORG HOTEL","3",36,84,"SARPHATIPARK","106-108","1073EC","K25b","","hotel",52.3549759,"4.8958693"
"223","ALLURE HOTEL","3",18,36,"SARPHATISTRAAT","117","1018GB","A08b","B","hotel",52.361897,"4.9104623"
"224","GOLDEN REGAL HOTEL,THE","2",13,27,"KORTE VAN EEGHENSTRAAT","8","1071ER","K47c","","hotel",52.3583851,"4.8754015"
"225","CONVENT HOTEL AMSTERDAM, THE","4",148,296,"NIEUWEZIJDS VOORBURGWAL","67","1012RE","A01e","B","hotel",52.375446,"4.8928418"
"226","FLORIS FRANCE HOTEL","3",55,123,"OUDEZIJDS KOLK","11","1012AL","A00a","B","hotel",52.3759568,"4.9011775"
"227","MARIANNE HOTEL","3",12,19,"NICOLAAS MAESSTRAAT","107","1071PV","K47f","","hotel",52.3541844,"4.878782"
"228","CENTRE HOTEL","0",17,72,"NICOLAAS ANSLIJNSTRAAT","87","1068WS","F81c","","hotel",52.3576791,"4.808016"
"229","JUPITER HOTEL","3",20,43,"TWEEDE HELMERSSTRAAT","14","1054CJ","E20a","","hotel",52.3649204,"4.877778"
"230","KING HOTEL","2",26,48,"LEIDSEKADE","85-86","1017PN","A07b","B","hotel",52.3656484,"4.8793096"
"231","GRAND HOTEL AMRÂTH AMSTERDAM","5",165,385,"PRINS HENDRIKKADE","108","1011AK","A04b","B","hotel",52.3746467,"4.9038792"
"232","REMBRANDT SQUARE HOTEL","1",22,44,"REMBRANDTPLEIN","24","1016BJ","A02c","K","hotel",52.3656552,"4.8964012"
"233","BLUE TOWER","4",188,421,"LEEUWENDALERSWEG","21","1055JE","E37c","","hotel",52.3793024,"4.8457427"
"234","STAYOKAY ZEEBURG","0",92,478,"TIMORPLEIN","21","1094CC","M31a","","hostel/ jeugdherberg",52.3653615,"4.9355026"
"235","BORGMANN VILLA HOTEL","3",15,31,"KONINGSLAAN","48","1075AE","K46c","","hotel",52.3555791,"4.862678"
"236","IBIS AMSTERDAM CITY WEST","3",180,380,"TRANSFORMATORWEG","36","1014AK","B11g","","hotel",52.3923189,"4.8501967"
"237","KAP HOTEL","2",13,27,"DEN TEXSTRAAT","5B","1017XW","A07f","B","hotel",52.3590106,"4.8935974"
"238","The Poet Hotel","2",64,128,"JAN LUIJKENSTRAAT","40-44","1071CR","K47b","","hotel",52.3602891,"4.8832054"
"239","CORNER HOUSE HOTEL","0",19,31,"NIEUWEZIJDS VOORBURGWAL","121","1012RH","A01e","B","hotel",52.3742722,"4.8915479"
"240","TOWNHOUSE HOTEL, THE","0",10,20,"PRINSENGRACHT","816","1017JL","A07g","K","hotel",52.3619926,"4.8996421"
"241","TRIANON HOTEL VOF","2",42,91,"JAN WILLEM BROUWERSSTR","3-7","1071LH","K47c","","hotel",52.3556984,"4.877852"
"242","VAN BONGA HOTEL-PENSION","2",17,34,"HOLBEINSTRAAT","1","1077VB","K49f","","hotel",52.3463335,"4.8756432"
"243","GALERIJ HOTEL","0",19,40,"RAADHUISSTRAAT","43","1016DD","A02c","K","hotel",52.3736199,"4.8857817"
"244","ACCA INTERNATIONAL HOTEL","0",45,80,"VAN DE VELDESTRAAT","3A","1071CW","K47b","","hotel",52.3593496,"4.8797717"
"245","IRISH PUB DURTY NELLY'S INN","0",10,66,"WARMOESSTRAAT","115-117","1012JA","A00b","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3754653,"4.8983388"
"246","CENTRAAL HOSTEL","0",14,51,"PLANTAGE KERKLAAN","19","1018SZ","A08c","B","hostel/ jeugdherberg",52.3655296,"4.9109382"
"247","BILDERBERG HOTEL JAN LUYKEN","4",62,113,"JAN LUIJKENSTRAAT","58","1071CS","K47b","","hotel",52.3598384,"4.8810513"
"248","M-HOTEL MUSEUMPLEIN","3",17,34,"FRANS VAN MIERISSTRAAT","34","1071RT","K47a","","hotel",52.3546854,"4.8824458"
"249","HEMP HOTEL/EETCAFE AMSTERDAM","1",5,9,"FREDERIKSPLEIN","15","1017XK","A07g","B","hotel",52.3612488,"4.9001788"
"250","REMBRANDTPLEIN HOTEL","0",20,44,"GROENBURGWAL","27","1011HR","A04h","B","hotel",52.3689809,"4.8986256"
"251","KEIZERSHOF HOTEL","1",5,9,"KEIZERSGRACHT","618","1017ER","A03c","K","hotel",52.3638337,"4.8906515"
"252","REMBRANDT HOTEL","2",17,33,"PLANTAGE MIDDENLAAN","17","1018DA","A08c","B","hotel",52.3671054,"4.910363"
"253","EAZIRES LUXER HOTEL","3",47,130,"WARMOESSTRAAT","11","1012HT","A00a","B","hotel",52.3760226,"4.8992247"
"254","WITTE TULP HOTEL,DE","0",14,80,"WARMOESSTRAAT","87","1012HZ","A00b","B","hotel",52.3747061,"4.8973768"
"255","AMSTELZICHT HOTEL","3",12,24,"AMSTEL","104","1017AD","A03e","B","hotel",52.3669696,"4.8969299"
"256","ITC HOTEL","2",22,32,"PRINSENGRACHT","1051","1017JE","A03d","K","hotel",52.3622484,"4.8984649"
"257","HEEMSKERK HOTEL","4",4,8,"JAN WILLEM BROUWERSSTR","25","1071LH","K47c","","hotel",52.3558192,"4.8777763"
"258","MAX IN MOKUM HOTEL","2",15,55,"HEMONYSTRAAT","7","1074BK","K24a","","hotel",52.3579496,"4.9021821"
"259","PORT VAN CLEVE,DIE","4",122,263,"NIEUWEZIJDS VOORBURGWAL","176-180","1012SJ","A01d","B","hotel",52.3745219,"4.8913151"
"260","OUDE TAVEERNE,DE, Hotel-Restaurant","4",14,32,"DURGERDAMMERDIJK","73","1026CB","N73d","","hotel",52.3774609,"4.9886307"
"261","WESTERTOREN HOTEL,DE","1",8,18,"RAADHUISSTRAAT","35","1016DC","A02c","K","hotel",52.3734585,"4.8861381"
"262","NH MUSICA","4",213,426,"VAN LEIJENBERGHLAAN","221","1082GG","K91c","","hotel",52.3266692,"4.8800358"
"263","HOKSBERGEN HOTEL","2",19,48,"SINGEL","301","1012WH","A01f","K","hotel",52.3706647,"4.8885927"
"264","SYMPHONY HOTEL VIVALDI","2",48,93,"STADHOUDERSKADE","76","1072AE","K24c","","hotel",52.3579643,"4.8905557"
"265","STERN, HOTEL DE","1",6,19,"UTRECHTSESTRAAT","18","1017VN","A03e","K","hotel",52.3653926,"4.8975642"
"266","AMSTEL BOTEL","3",170,349,"NDSM PIER3-4 TEGENOVER C.S.","","1033RG","N71d","","hotel",NA,NA
"267","SANDER HOTEL","3",20,47,"JACOB OBRECHTSTRAAT","69","1071KJ","K47f","","hotel",52.3541136,"4.876948"
"268","SEASONS HOTEL","3",44,101,"STADHOUDERSKADE","135","1074AZ","K24a","","hotel",52.3579241,"4.900733"
"269","VINCENT VAN GOGH HOTEL","0",13,22,"VAN DE VELDESTRAAT","5","1071CW","K47b","","hotel",52.3591278,"4.8801418"
"270","BOUTIQUE VIEW HOTEL","2",14,28,"LEIDSEKADE","77","1017PM","A07b","B","hotel",52.3648395,"4.8798638"
"271","WATERFRONT HOTEL","2",10,24,"SINGEL","458","1017AW","A01i","K","hotel",52.3675917,"4.8887741"
"272","CONCERT HOTEL, THE","3",26,52,"DE LAIRESSESTRAAT","11","1071NR","K47f","","hotel",52.35486,"4.8770568"
"273","LEYDSCHE HOF HOTEL,DE","1",5,10,"LEIDSEGRACHT","14","1016CK","A02d","K","hotel",52.3674262,"4.8857807"
"274","PAX HOTEL","1",10,21,"RAADHUISSTRAAT","37B","1016DC","A02c","K","hotel",52.373485,"4.8860353"
"275","SHARM HOTEL","1",11,21,"RAADHUISSTRAAT","33","1016DC","A02c","K","hotel",52.3734228,"4.886212"
"276","COLLEGE HOTEL, THE","4",40,80,"ROELOF HARTSTRAAT","1","1071VE","K50a","","hotel",52.3527763,"4.8836858"
"277","SYMPHONY HOTEL PAGANINI","0",47,95,"STADHOUDERSKADE","68","1072AD","K24c","","hotel",52.3581317,"4.8897611"
"278","SEASON STAR HOTEL","0",29,56,"MARTELAARSGRACHT","18","1012TR","A01b","B","hotel",52.3781085,"4.8969619"
"279","CONTINENTAL HOTEL","1",32,90,"DAMRAK","40-41","1012LK","A01e","B","hotel",52.3769214,"4.8982816"
"280","PENSION DE BOER-VAN ESSEN","0",6,8,"JOHANNES VERHULSTSTRAAT","165","1075GX","K46a","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3531655,"4.8676973"
"281","MOZART HOTEL","3",47,86,"PRINSENGRACHT","518-520","1017KJ","A07c","K","hotel",52.3700754,"4.8824404"
"282","TOURIST-INN HOTEL","1",37,125,"SPUISTRAAT  + SINGLE 69","52","1012TV","A01d","K","hotel",NA,NA
"283","EDEN AMSTERDAM MANOR HOTEL","4",125,250,"LINNAEUSSTRAAT","89","1093EK","M29b","","hotel",52.3589942,"4.9262828"
"284","MÖVENPICK HOTEL AMSTERDAM CITY CENTRE","4",408,816,"PIET HEINKADE","11","1019BR","M33a","","hotel",52.3780116,"4.9136382"
"285","BELLEVUE HOTEL","3",75,140,"MARTELAARSGRACHT","10","1012TP","A01b","B","hotel",52.3780697,"4.896582"
"286","FUSION SUITES","3",4,8,"ROEMER VISSCHERSTRAAT","40","1054EZ","E22a","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3613743,"4.8766149"
"287","WASHINGTON HOTEL","2",22,52,"FRANS VAN MIERISSTRAAT","10","1071RS","K47a","","hotel",52.3548988,"4.8835001"
"288","AVENUE HOTEL AMSTERDAM","3",80,165,"NIEUWEZIJDS VOORBURGWAL","33","1012RD","A01e","B","hotel",52.3766377,"4.8946387"
"289","QBIC WTC AMSTERDAM","0",55,110,"STRAWINSKYLAAN","241","1077XX","K59c","","hotel",52.3401348,"4.8749465"
"290","AALDERS HOTEL","3",28,61,"JAN LUIJKENSTRAAT","13-15","1071CJ","K47b","","hotel",52.3602891,"4.8832054"
"291","BEMA, HOTEL HUIZE","1",8,18,"CONCERTGEBOUWPLEIN","19B","1071LM","K47f","","hotel",52.3557379,"4.8790489"
"292","PARIS HOTEL,DE","3",38,86,"MARNIXSTRAAT","372-374","1016XX","A06j","B","hotel",52.3670753,"4.8792034"
"293","CASA 400 AMSTERDAM HOTEL","3",519,1021,"1E RINGDIJKSTRAAT","4","1097BC","M55b","","hotel",NA,NA
"294","NICOLAAS WITSEN HOTEL","3",28,56,"NICOLAAS WITSENSTRAAT","4-8","1017ZH","A07f","B","hotel",52.3587561,"4.8962952"
"295","ALEXANDER HOTEL","3",34,73,"VONDELSTRAAT","44-46","1054GE","E22a","","hotel",52.3618602,"4.8758105"
"296","BANKS MANSION","4",51,102,"HERENGRACHT","519-525","1017BV","A03b","K","hotel",NA,NA
"297","INNTEL HOTELS AMSTERDAM CENTRE","4",239,464,"NIEUWEZIJDS KOLK","19","1012PV","A01e","B","hotel",52.3761449,"4.8944788"
"298","DELPHI HOTEL","4",52,96,"APOLLOLAAN","103","1077AN","K49d","","hotel",52.3506912,"4.8787869"
"299","PRINS HENDRIK HOTEL","3",45,124,"PRINS HENDRIKKADE","52-58","1012AC","A00a","B","hotel",52.3759444,"4.9031691"
"300","QUENTIN ARRIVE HOTEL","1",30,65,"HAARLEMMERSTRAAT","65-67","1013EL","A05b","K","hotel",52.3800115,"4.8926278"
"301","WIJNNOBEL HOTEL","1",12,27,"VOSSIUSSTRAAT","9","1071AB","K47b","","hotel",52.3598718,"4.8765094"
"302","AADAM WILHELMINA HOTEL","2",19,40,"KONINGINNEWEG","169","1075CN","K46b","","hotel",52.352719,"4.8617802"
"303","DORIA HOTEL","3",38,71,"DAMSTRAAT","3","1012JL","A00b","B","hotel",52.372397,"4.8944764"
"304","ALFA AMSTERDAM HOTEL","1",21,44,"MARTELAARSGRACHT","14","1012TR","A01b","B","hotel",52.3780491,"4.8963522"
"305","HORTUS HOTEL","0",20,42,"PLANTAGE PARKLAAN","8","1018SR","A08c","B","hotel",52.3667588,"4.9091187"
"306","IL GIARDINO HOTEL","2",14,36,"PRINS HENDRIKKADE","97-98","1011AG","A04d","B","hotel",52.3762199,"4.9028307"
"307","BULLDOG HOTEL,THE","0",39,245,"OUDEZIJDS VOORBURGWAL","220","1012GJ","A00b","B","hotel",52.372549,"4.8962283"
"308","DI-ANN HOTEL","2",48,110,"RAADHUISSTRAAT","27","1016DC","A02c","K","hotel",52.3733429,"4.8864629"
"309","NADIA HOTEL (INCL. CLEMENS HOTEL)","2",52,72,"RAADHUISSTRAAT","49-53","1016DD","A02c","K","hotel",52.3735531,"4.8861899"
"310","PRINCESS HOTEL","1",34,71,"OVERTOOM","80","1054HL","E20a","","hotel",52.362978,"4.8754368"
"311","ALFA PLANTAGE HOTEL","3",21,42,"PLANTAGE MIDDENLAAN","26","1018DE","A08c","B","hotel",52.3663991,"4.9113102"
"312","BRIAN HOTEL","0",14,35,"SINGEL","69","1012VE","A01d","K","hotel",52.3765029,"4.8919782"
"313","WESTCORD AMSTERDAM ART 4-STERREN","4",84,124,"SPAARNDAMMERDIJK","302","1013ZX","E13f","","hotel",52.3927795,"4.8688489"
"314","LLOYD HOTEL & CULTURELE AMBASSADE","0",117,234,"OOSTELIJKE HANDELSKADE","34","1019BN","M33b","","hotel",52.3743198,"4.9354394"
"315","MONOPOLE HOTEL & APARTMENTS","2",12,26,"AMSTEL","60","1017AC","A03e","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3669214,"4.8961523"
"316","MUSEUMZICHT HOTEL","1",14,26,"JAN LUIJKENSTRAAT","22","1071CN","K47b","","hotel",52.3603593,"4.8830125"
"317","HERMITAGE AMSTERDAM HOTEL","2",21,49,"NIEUWE KEIZERSGRACHT","16","1018DR","A08a","K","hotel",52.3645431,"4.9035195"
"318","SHELTER CITY JEUGDHOTEL","0",25,178,"BARNDESTEEG","21","1012BV","A00c","B","hostel/ jeugdherberg",52.372362,"4.8990436"
"319","SAVOY HOTEL AMSTERDAM","4",44,75,"FERDINAND BOLSTRAAT","194","1072LW","K25d","","hotel",52.3498062,"4.8912194"
"320","BASTION HOTEL AMSTERDAM CENTRUM/Z.W.","3",90,180,"NACHTWACHTLAAN","11","1058EV","F87b","","hotel",NA,NA
"321","APPLE INN HOTEL","2",28,68,"KONINGINNEWEG","93","1075CJ","K46a","","hotel",52.3537315,"4.8655914"
"322","ROOMS & CO","3",4,8,"HEMONYSTRAAT","1A","1074BK","K24a","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.35812,"4.9021068"
"323","OLD QUARTER HOTEL","2",41,91,"WARMOESSTRAAT","22","1012JD","A00a","B","hotel",52.3759293,"4.8988575"
"324","ADOLESCE HOTEL","2",10,21,"NIEUWE KEIZERSGRACHT","26","1018DS","A08a","K","hotel",52.3646165,"4.9039004"
"325","SAILING HOME HOTELSCHIP","3",13,26,"OOSTERDOK","T.O. NEMO","1011VC","A04g","B","hotel",NA,NA
"326","SCHRODER HOTEL","1",11,23,"HAARLEMMERDIJK","48B","1013JE","A05c","B","hotel",52.3815258,"4.8892256"
"327","LANTAERNE LEIDSEKADE,HOTEL DE","0",28,69,"LEIDSEGRACHT","111-117","1017ND","A07b","B","hotel",52.3651139,"4.8803151"
"328","SYNOPSIS HOTEL","3",3,6,"NIEUWE KEIZERSGRACHT","22A","1018DS","A08a","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.36458,"4.9037686"
"329","ASPEN HOTEL","1",8,17,"RAADHUISSTRAAT","31","1016DC","A02c","K","hotel",52.3733962,"4.8863004"
"330","OLD HARBOUR HOTEL","1",8,15,"WARMOESSTRAAT","23","1012HT","A00a","B","hotel",52.375822,"4.8989761"
"331","MUNCK HOTEL,DE","2",13,33,"ACHTERGRACHT","3","1017WL","A07g","B","hotel",52.3613864,"4.9008379"
"332","MERCURE AMSTERDAM AIRPORT","4",152,303,"OUDE HAAGSEWEG","20","1066BW","F88c","","hotel",52.3372142,"4.817336"
"333","NIEUW SLOTANIA HOTEL","0",70,172,"SLOTERMEERLAAN","133","1063JN","F77c","","hotel",52.3811277,"4.8209283"
"334","BEST WESTERN BLUE SQUARE HOTEL","4",175,370,"SLOTERMEERLAAN","80","1064HD","F77a","","hotel",52.3786188,"4.8206519"
"335","SANDTON HOTEL DE FILOSOOF","3",45,84,"ANNA VAN DEN VONDELSTR","2-6","1054GZ","E22b","","hotel",52.3611099,"4.86942"
"336","PARK PLAZA VONDELPARK","3",138,277,"KONINGINNEWEG","34-36","1075CZ","K46c","","hotel",52.3531381,"4.8632394"
"337","MEMPHIS HOTEL","4",78,155,"DE LAIRESSESTRAAT","87","1071NX","K47e","","hotel",52.353166,"4.8701936"
"338","RADISSON BLU HOTEL","4",252,503,"RUSLAND","17","1012CK","A00e","B","hotel",52.3701499,"4.8966011"
"339","RENAISSANCE AMSTERDAM HOTEL","5",402,804,"KATTENGAT","1","1012SZ","A01b","B","hotel",52.3775634,"4.8945437"
"340","REMBRANDT CLASSIC HOTEL","3",111,242,"HERENGRACHT","255","1016BJ","A02c","K","hotel",52.37181,"4.8873904"
"341","BILDERBERG GARDEN HOTEL","5",124,248,"DIJSSELHOFPLANTSOEN","7","1077BJ","K49c","","hotel",52.3511798,"4.8740022"
"342","THORBECKE HOTEL","0",14,33,"THORBECKEPLEIN","3 + 13","1017CS","A03c","K","hotel",52.36530165,"4.89583134228282"
"343","CROWNE PLAZA AMSTERDAM CITY CENTRE","4",270,487,"NIEUWEZIJDS VOORBURGWAL","5","1012RC","A01c","B","hotel",52.3771594,"4.895458"
"344","SOFITEL LEGEND THE GRAND AMSTERDAM","5",177,355,"OUDEZIJDS VOORBURGWAL","197","1012EX","A00e","B","hotel",52.3711233,"4.8954212"
"345","CENTRAL PARK HOTEL","3",42,88,"WALDECK PYRMONTLAAN","9","1075BT","K46c","","hotel",52.3538869,"4.857526"
"346","CHIC AND BASIC","2",25,49,"HERENGRACHT","13","1015BA","A02a","K","hotel",52.3788853,"4.8921279"
"347","UTOPIA","0",10,22,"NIEUWEZIJDS VOORBURGWAL","132","1012SH","A01d","B","hotel",52.3750993,"4.8916121"
"348","BELFORT HOTEL","3",42,96,"SURINAMEPLEIN","53","1058GN","K44a","","hotel",52.3576556,"4.850719"
"349","JANSON HOTEL","2",12,26,"FRANS VAN MIERISSTRAAT","69A","1071RL","K47a","","hotel",52.3542961,"4.8817897"
"350","BEN HOTEL","1",26,52,"BEURSSTRAAT","21","1012JT","A00b","B","hotel",52.374854,"4.8967664"
"351","KWINT,B&B","0",4,7,"KOMETENSINGEL","187","1033BE","N65b","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.4146317,"4.8863048"
"352","ANCO HOTEL","1",14,27,"OUDEZIJDS VOORBURGWAL","55","1012EJ","A00c","B","hotel",52.3742592,"4.899243"
"353","BELGA HOTEL","2",11,30,"HARTENSTRAAT","8","1016CB","A02c","K","hotel",52.3723702,"4.8863317"
"354","ORLANDO HOTEL","3",7,14,"PRINSENGRACHT","1099","1017JH","A03d","K","hotel",52.3626344,"4.9004718"
"355","HART VAN AMSTERDAM HOTEL","0",24,132,"OUDEZIJDS ACHTERBURGWAL","120","1012DT","A00c","B","hotel",52.3723165,"4.8974888"
"356","HOTEL JL. NO.76","4",39,78,"JAN LUIJKENSTRAAT","76","1071CT","K47b","","hotel",52.3602891,"4.8832054"
"357","REMISE,LA","0",3,6,"NOORDERSTRAAT","74","1071TW","K50a","","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3612104,"4.8938351"
"358","M.DE VRIES, B&B","0",3,5,"OUDEZIJDS ACHTERBURGWAL","134","1012DV","A00c","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3720488,"4.8972115"
"359","AJAX HOTEL D.R.","2",21,40,"ROKIN","104","1012KZ","A01g","B","hotel",52.3692762,"4.8918387"
"360","IJ-BOULEVARD HOTEL","0",35,85,"PRINS HENDRIKKADE","144-145","1011AT","A04b","B","hotel",52.3739793,"4.9057632"
"361","ZANDBERGEN HOTEL BV","3",21,37,"WILLEMSPARKWEG","205","1071HB","K47d","","hotel",52.3554548,"4.8691381"
"362","CITY HOTEL AMSTERDAM","2",49,100,"PRINS HENDRIKKADE","130","1011AP","A04b","B","hotel",52.3738797,"4.9053414"
"363","BICYCLE HOTEL","1",15,30,"VAN OSTADESTRAAT","123","1072SV","K25c","","hotel",52.3525126,"4.8936257"
"364","INTERNATIONAAL DELPORT BV, HOTEL","1",8,18,"WARMOESSTRAAT","1-3","1012HT","A00a","B","hotel",52.3761659,"4.899591"
"365","COSMOS AMSTERDAM HOTEL","0",20,130,"NIEUWE NIEUWSTRAAT","17","1012NG","A01e","B","hotel",52.3753268,"4.8934766"
"366","MAURO MANSION","0",9,18,"GELDERSEKADE","16","1012BH","A00a","B","hotel",52.3759053,"4.9017655"
"367","AMSTERDAM OOSTERPARK INN","0",6,14,"OOSTERPARK","71","1092AS","M28c","","hostel/ jeugdherberg",52.359282,"4.9229103"
"368","ART HOTEL DULAC","3",21,42,"HAARLEMMERSTRAAT","120","1013EX","A05b","K","hotel",52.3809497,"4.8904278"
"369","BASTION HOTEL AMSTERDAM AMSTEL","3",192,384,"VERL VAN MARWIJK KOOYSTRAAT","30","1096BX","M58d","","hotel",NA,NA
"370","LA FESTA BED & BREAKFAST","0",4,8,"HAZENSTRAAT","64","1016SR","A06g","B","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3699014,"4.8803049"
"371","COCOMAMA","0",12,40,"WESTEINDE","18","1017ZP","A07h","B","hostel/ jeugdherberg",52.3587777,"4.8986539"
"372","CONSERVATORIUM HOTEL AMSTERDAM","5",129,258,"VAN BAERLESTRAAT","27","1071AN","K47b","","hotel",52.3586053,"4.8785258"
"373","CROWNE PLAZA AMSTERDAM - SOUTH","4",207,414,"GEORGE GERSHWINLAAN","101","1082MT","K90h","","hotel",52.3356057,"4.8747611"
"374","DIMILLION SUITE HOTEL","0",25,85,"OUDESCHANS","73-77","1011KW","A04f","B","hotel",52.3715586,"4.9043685"
"375","EASYHOTEL AMSTERDAM","2",80,160,"VAN OSTADESTRAAT","97","1072ST","K25c","","hotel",52.352295,"4.8918077"
"376","HOLIDAY INN EXPRESS AMSTERDAM SLOTERDIJK STATION","3",254,508,"ZAVENTEMWEG","3","1043EH","B11f","","hotel",52.3881556,"4.8376202"
"377","HOTEL ATLANTIS AMSTERDAM","2",45,94,"CEINTUURBAAN","215-217","1074CV","K24a","","hotel",52.3522194,"4.8873801"
"378","HOTEL PLANT","0",5,10,"PRINS HENDRIKKADE","15","1012TL","A01b","B","hotel",52.3787759,"4.8957705"
"379","IL FIORE BED & BREAKFAST","0",3,6,"LINDENGRACHT","25-1","1015KB","A06b","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.3804189,"4.8870584"
"380","LE TISSERAND CHAMBRES D'HOTES","0",5,10,"2E WETERINGDWAARSSTRAAT","5","1017SR","A07e","B","B&B, pension, appartamenten, guesthouse, boerenkamer",NA,NA
"381","THORBECKE APPARTMENTS","0",3,9,"THORBECKEPLEIN","13","1017CS","A03c","K","B&B, pension, appartamenten, guesthouse, boerenkamer",52.365296,"4.896189"
"382","HOSTELLE","0",15,84,"FRANKEMAHEERD","2","1102AN","T93e","","hostel/ jeugdherberg",NA,NA
